effect_type,query,db_a,db_b,label_a,label_b,p50_a_ms,p50_b_ms,speedup_b_over_a,t_stat,p_value,significant,cliff_delta,cliff_label
engine,Q1,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,3731.5774,759.3142,4.91,272.1921,0.0,True,1.0,large
engine,Q2,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,5.134,1.7069,3.01,87.4834,0.0,True,1.0,large
engine,Q3,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,7.4945,3.8404,1.95,9.4231,0.0,True,0.5174,large
engine,Q4,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,4.9856,1.3918,3.58,4.7447,2e-06,True,0.9762,large
engine,Q5,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,40.361,8.0865,4.99,24.8431,0.0,True,0.7315,large
engine,Q6,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,1.6229,1.3435,1.21,8.4009,0.0,True,0.4855,large
engine,Q7,mongodb_naive,postgres,MongoDB (naive),PostgreSQL,4551.8425,314.9573,14.45,34.0215,0.0,True,0.9975,large
engine,Q1,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,17004.7476,759.3142,22.39,478.3909,0.0,True,1.0,large
engine,Q2,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,4711.9814,1.7069,2760.55,2405.1194,0.0,True,1.0,large
engine,Q3,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,411.8955,3.8404,107.25,123.501,0.0,True,1.0,large
engine,Q4,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,19497.3003,1.3918,14008.69,28.0725,0.0,True,1.0,large
engine,Q5,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,1152.4175,8.0865,142.51,423.0181,0.0,True,1.0,large
engine,Q6,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,121146.2048,1.3435,90172.09,2311.8339,0.0,True,1.0,large
engine,Q7,cassandra_naive,postgres,Cassandra (naive),PostgreSQL,7934.9103,314.9573,25.19,198.0479,0.0,True,1.0,large
engine,Q1,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,12228.0961,759.3142,16.1,1947.6499,0.0,True,1.0,large
engine,Q2,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,2.8133,1.7069,1.65,36.702,0.0,True,0.82,large
engine,Q3,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,11.5114,3.8404,3.0,7.497,0.0,True,0.8166,large
engine,Q4,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,3.5728,1.3918,2.57,7.1217,0.0,True,0.9602,large
engine,Q5,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,245.6622,8.0865,30.38,197.252,0.0,True,1.0,large
engine,Q6,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,3.6844,1.3435,2.74,26.831,0.0,True,0.9236,large
engine,Q7,neo4j_naive,postgres,Neo4j (naive),PostgreSQL,1109.1604,314.9573,3.52,60.7635,0.0,True,0.9982,large
engine,Q1,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,61.4962,759.3142,0.08,-453.1594,0.0,True,-1.0,large
engine,Q2,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,95.5011,1.7069,55.95,120.4475,0.0,True,1.0,large
engine,Q3,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,44.3891,3.8404,11.56,8.4941,0.0,True,0.9905,large
engine,Q4,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,143.8751,1.3918,103.37,296.991,0.0,True,1.0,large
engine,Q5,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,47.9194,8.0865,5.93,62.9605,0.0,True,0.9139,large
engine,Q6,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,46.2219,1.3435,34.4,410.2668,0.0,True,1.0,large
engine,Q7,elasticsearch_naive,postgres,Elasticsearch (naive),PostgreSQL,48.091,314.9573,0.15,-135.0633,0.0,True,-1.0,large
engine,Q1,timescaledb_naive,postgres,TimescaleDB (naive),PostgreSQL,748.3122,759.3142,0.99,-3.6326,0.000288,True,-0.0995,negligible
engine,Q2,timescaledb_naive,postgres,TimescaleDB (naive),PostgreSQL,11.4443,1.7069,6.7,250.4238,0.0,True,1.0,large
engine,Q3,timescaledb_naive,postgres,TimescaleDB (naive),PostgreSQL,5.671,3.8404,1.48,12.3062,0.0,True,0.3414,medium
