db,db_display,query,scale_pct,p50_ms,p95_ms,p99_ms
postgres,PostgreSQL,Q1,10,1.4888,1.8099,2.0651
postgres,PostgreSQL,Q1,50,1.4663,1.9166,2.3356
postgres,PostgreSQL,Q1,100,759.3142,872.63,935.5056
postgres,PostgreSQL,Q2,10,1.4625,2.0707,2.3365
postgres,PostgreSQL,Q2,50,1.4984,2.2912,2.5451
postgres,PostgreSQL,Q2,100,1.7069,2.323,2.6045
postgres,PostgreSQL,Q3,10,3.9393,10.7258,14.2722
postgres,PostgreSQL,Q3,50,3.8078,10.2545,14.2733
postgres,PostgreSQL,Q3,100,3.8404,10.3683,14.5291
postgres,PostgreSQL,Q4,10,1.4093,2.4642,5.4497
postgres,PostgreSQL,Q4,50,1.3384,2.0927,5.1653
postgres,PostgreSQL,Q4,100,1.3918,2.1511,5.9815
postgres,PostgreSQL,Q5,10,3.2562,11.7426,24.2431
postgres,PostgreSQL,Q5,50,6.0298,22.0868,53.0585
postgres,PostgreSQL,Q5,100,8.0865,35.1497,88.5367
postgres,PostgreSQL,Q6,10,0.8468,1.0903,1.2606
postgres,PostgreSQL,Q6,50,1.1492,1.7491,2.1383
postgres,PostgreSQL,Q6,100,1.3435,3.2561,8.9395
postgres,PostgreSQL,Q7,10,105.5512,128.4942,148.4599
postgres,PostgreSQL,Q7,50,268.6476,333.7277,465.0846
postgres,PostgreSQL,Q7,100,314.9573,428.4996,526.3379
mongodb_naive,MongoDB (N),Q1,10,288.2265,315.7938,336.4504
mongodb_naive,MongoDB (N),Q1,50,1420.9457,1517.0549,1574.215
mongodb_naive,MongoDB (N),Q1,100,3731.5774,4634.0041,5205.5593
mongodb_naive,MongoDB (N),Q2,10,5.2503,6.5334,8.1347
mongodb_naive,MongoDB (N),Q2,50,5.2494,6.434,7.394
mongodb_naive,MongoDB (N),Q2,100,5.134,7.1678,8.57
mongodb_naive,MongoDB (N),Q3,10,6.6839,19.4869,170.7281
mongodb_naive,MongoDB (N),Q3,50,8.3904,26.0562,152.9581
mongodb_naive,MongoDB (N),Q3,100,7.4945,21.9136,191.334
mongodb_naive,MongoDB (N),Q4,10,5.4465,15.252,40.4072
mongodb_naive,MongoDB (N),Q4,50,5.0589,9.8408,23.555
mongodb_naive,MongoDB (N),Q4,100,4.9856,11.6336,87.106
mongodb_naive,MongoDB (N),Q5,10,36.2133,193.3273,218.6663
mongodb_naive,MongoDB (N),Q5,50,38.8783,198.1991,223.1829
mongodb_naive,MongoDB (N),Q5,100,40.361,206.4868,240.24
mongodb_naive,MongoDB (N),Q6,10,1.4198,1.8825,2.3743
mongodb_naive,MongoDB (N),Q6,50,1.9341,3.8349,4.7915
mongodb_naive,MongoDB (N),Q6,100,1.6229,4.7851,7.589
mongodb_naive,MongoDB (N),Q7,10,168.1253,190.7829,208.4627
mongodb_naive,MongoDB (N),Q7,50,754.425,1594.9801,1706.6633
mongodb_naive,MongoDB (N),Q7,100,4551.8425,16855.3922,17715.834
cassandra_naive,Cassandra (N),Q1,10,4795.6641,4931.7639,5135.8416
cassandra_naive,Cassandra (N),Q1,50,9621.7781,9770.5978,9875.1887
cassandra_naive,Cassandra (N),Q1,100,17004.7476,19024.4692,19248.5824
cassandra_naive,Cassandra (N),Q2,10,4492.687,4592.8235,4658.8078
cassandra_naive,Cassandra (N),Q2,50,4498.8912,4607.3483,4665.3025
cassandra_naive,Cassandra (N),Q2,100,4711.9814,4824.4226,4883.4493
cassandra_naive,Cassandra (N),Q3,10,380.6766,542.2358,609.0402
cassandra_naive,Cassandra (N),Q3,50,392.7398,552.4779,624.1407
cassandra_naive,Cassandra (N),Q3,100,411.8955,607.1729,697.8125
cassandra_naive,Cassandra (N),Q4,10,3502.6844,4011.8773,6228.0102
cassandra_naive,Cassandra (N),Q4,50,3507.7384,4113.4387,7778.3346
cassandra_naive,Cassandra (N),Q4,100,19497.3003,20891.5275,25979.5545
cassandra_naive,Cassandra (N),Q5,10,1070.9433,1146.3955,1186.4876
cassandra_naive,Cassandra (N),Q5,50,1073.2055,1150.3407,1185.4512
cassandra_naive,Cassandra (N),Q5,100,1152.4175,1313.125,1538.3035
cassandra_naive,Cassandra (N),Q6,10,127876.856,130624.7652,130661.3944
cassandra_naive,Cassandra (N),Q6,50,127518.3529,130319.594,130403.8306
cassandra_naive,Cassandra (N),Q6,100,121146.2048,123115.7391,123852.3701
cassandra_naive,Cassandra (N),Q7,10,4839.3931,4963.4389,5014.1246
cassandra_naive,Cassandra (N),Q7,50,6553.2944,6742.8749,6818.3549
cassandra_naive,Cassandra (N),Q7,100,7934.9103,10509.2038,11007.2552
neo4j_naive,Neo4j (N),Q1,10,234.3109,272.8672,293.6099
neo4j_naive,Neo4j (N),Q1,50,1568.0022,1681.5648,1738.7923
neo4j_naive,Neo4j (N),Q1,100,12228.0961,12598.4155,12736.222
neo4j_naive,Neo4j (N),Q2,10,3.1475,5.0992,6.3599
neo4j_naive,Neo4j (N),Q2,50,2.3141,3.2922,3.6678
neo4j_naive,Neo4j (N),Q2,100,2.8133,4.1748,4.8525
neo4j_naive,Neo4j (N),Q3,10,29.8097,45.7297,55.618
neo4j_naive,Neo4j (N),Q3,50,33.4069,58.966,76.777
neo4j_naive,Neo4j (N),Q3,100,11.5114,24.2808,853.1025
neo4j_naive,Neo4j (N),Q4,10,4.3216,91.6757,198.3749
neo4j_naive,Neo4j (N),Q4,50,3.8793,200.5271,438.5435
neo4j_naive,Neo4j (N),Q4,100,3.5728,69.5377,713.13
neo4j_naive,Neo4j (N),Q5,10,55.3192,64.6495,76.5384
neo4j_naive,Neo4j (N),Q5,50,120.3255,135.2948,155.8534
neo4j_naive,Neo4j (N),Q5,100,245.6622,315.7841,377.6496
neo4j_naive,Neo4j (N),Q6,10,3.3506,4.6925,5.2603
neo4j_naive,Neo4j (N),Q6,50,2.9796,6.2113,8.0931
neo4j_naive,Neo4j (N),Q6,100,3.6844,19.5424,26.6409
neo4j_naive,Neo4j (N),Q7,10,213.3924,249.1758,272.2328
neo4j_naive,Neo4j (N),Q7,50,584.3047,668.8668,704.1731
neo4j_naive,Neo4j (N),Q7,100,1109.1604,2102.0857,2226.425
