db,db_display,n_threads,total_events,wall_time_s,throughput_eps,p50_ms,p95_ms,p99_ms,mean_ms,std_dev_ms,min_ms,max_ms
postgres,PostgreSQL,10,1000000,652.384,1532.84,6.98,8.6543,11.0422,6.5217,2.397,2.0024,235.6126
postgres,PostgreSQL,50,1000000,121.505,8230.09,5.7942,9.0527,12.3169,6.0255,3.089,1.8056,279.8627
postgres,PostgreSQL,100,1000000,79.349,12602.51,7.3779,12.5776,15.8831,7.8377,2.6946,1.6407,128.662
mongodb,MongoDB,10,1000000,253.324,3947.52,2.3212,4.5038,5.8992,2.524,1.0662,0.6972,67.6722
mongodb,MongoDB,50,1000000,259.157,3858.67,11.3754,27.6946,37.5684,12.8924,7.916,0.6849,275.2861
mongodb,MongoDB,100,1000000,258.729,3865.04,22.6387,55.3574,75.159,25.6402,16.0491,0.7546,580.5529
cassandra,Cassandra,10,1000000,404.007,2475.21,2.9906,13.2334,16.573,4.0244,9.7834,1.1485,911.434
cassandra,Cassandra,50,1000000,282.018,3545.88,11.709,20.6596,27.7637,14.0702,28.304,1.4573,842.9457
cassandra,Cassandra,100,1000000,245.454,4074.09,20.588,33.0899,42.4935,24.5058,42.9831,0.9618,902.5275
neo4j,Neo4j,10,1000000,115350.07,8.67,1130.5747,1328.3234,1474.7142,1153.2852,96.6297,567.3501,9371.031
neo4j,Neo4j,50,1000000,54591.275,18.32,2523.2086,5792.21,7115.01,2722.8349,1784.6234,9.6599,16984.9986
neo4j,Neo4j,100,1000000,64048.736,15.61,6159.4267,12147.3303,13890.1607,6387.3051,3366.1014,138.2272,19089.7488
elasticsearch,Elasticsearch,10,1000000,6044.755,165.43,59.6921,68.5537,72.9611,60.4163,4.3252,11.5978,142.269
elasticsearch,Elasticsearch,50,1000000,1289.057,775.76,64.6289,72.832,78.7981,64.35,6.0919,9.2388,322.4058
elasticsearch,Elasticsearch,100,1000000,713.885,1400.79,68.5883,91.4005,118.9307,71.1664,13.4193,13.7113,738.5194
timescaledb,TimescaleDB,10,1000000,559.045,1788.77,6.1875,7.868,10.0083,5.5449,21.1437,1.8386,6125.2679
timescaledb,TimescaleDB,50,1000000,155.079,6448.31,7.0936,11.2636,13.8122,7.6926,18.7224,1.9991,2193.0643
timescaledb,TimescaleDB,100,1000000,143.12,6987.13,12.7961,24.2159,32.7251,14.1961,29.0905,2.1489,2770.7724
